iteration,avg_loss,avg_ppl,learning_rate
5,7.302139949332255,1672.3101324670545,9.635830289374115e-05
10,5.725855544226301,320.862193465749,9.765261730565446e-05
15,4.671396058738099,108.3515565256702,9.822194944283691e-05
20,4.238952988126934,69.6024767180913,9.843711707979164e-05
25,4.138456262060003,63.08774257742009,9.855341676958852e-05
30,3.9584401469520714,52.59642069067935,9.870460391729208e-05
35,3.935415179973868,51.869948670496186,9.871093052860539e-05
40,3.9751797572925995,53.41537563908454,9.861435237155075e-05
45,3.8763452783708003,48.350314746384754,9.867513672585225e-05
50,3.8421877886506457,47.185500304574916,9.870283660745147e-05
55,3.7756408148997758,43.796521805136706,9.875865844420574e-05
60,3.733705835767664,42.131993290997656,9.88873418341523e-05
65,3.82460461175634,45.97248065248719,9.872480757894463e-05
70,3.7554077891751327,43.1402940518887,9.890162883687029e-05
75,3.7234546228101677,42.527747438574394,9.875590233614778e-05
80,3.5673808086754297,35.93146401938054,9.898490188499827e-05
85,3.542507966755746,34.6353526265867,9.891765341353057e-05
90,3.5478368129879194,34.76212352633788,9.891132127283878e-05
95,3.5974160710454335,36.73317658669135,9.888148556541701e-05
100,3.5752753612726638,35.76108409001722,9.884420865703329e-05
105,3.712371838900964,41.200294824703526,9.883592384337834e-05
110,3.458672232931776,31.94352332980307,9.889057185340444e-05
115,3.42118149473826,30.761911030710003,9.894694997786632e-05
120,3.5116575926887768,33.58525687660109,9.88767829334008e-05
125,3.6531064280770735,39.624675230708206,9.871504615288946e-05
130,3.4195018268701665,30.948293227935388,9.907797683061966e-05
135,3.4323421618993715,31.180292917411464,9.904317915905411e-05
140,3.387165381933002,29.728960463261974,9.904924664065456e-05
145,3.399501913310324,30.09119070399381,9.89111294261768e-05
150,3.493290257636842,33.331355901980594,9.902944643668642e-05
155,3.5389920304525107,34.899484407640315,9.877156356753481e-05
160,3.3426682030799,28.3717473564526,9.90746129212887e-05
165,3.357892082890755,29.341103581992872,9.878572476348401e-05
170,3.4968881236703204,33.75701589890932,9.905073297520581e-05
175,3.357042719577952,28.760202600335496,9.895585239588459e-05
180,3.2521253638481094,26.02218941565941,9.912526884214159e-05
185,3.3869891311941203,29.684274577802398,9.891080829834612e-05
190,3.4339782683889064,31.24364169925297,9.90530502823075e-05
195,3.3980972936696334,30.372651442206102,9.90819277625048e-05
200,3.267365138820977,26.736543106882255,9.905417299793738e-05
205,3.317789636000706,27.778069105849948,9.892016034750349e-05
210,3.3090978673166473,27.608591968754308,9.91411067599695e-05
215,3.39365836344248,30.02886477349724,9.888428874234729e-05
220,3.2993865966333593,27.17920563106402,9.900408326063498e-05
225,3.2619676894310388,26.179012822858038,9.902670786679016e-05
230,3.2251608150348643,25.373328933604597,9.919309419343572e-05
235,3.270855810552645,26.473106977285774,9.895145340772343e-05
240,3.281239694654348,26.904160101660427,9.900792064395199e-05
245,3.186327802578326,24.282721607212068,9.903039091165223e-05
250,3.2643847786929108,26.261622833710383,9.91223870619981e-05
255,3.2451573358032917,26.021187988289007,9.895339020383746e-05
260,3.303468755382488,27.471055894751508,9.893855077511339e-05
265,3.3787387054788027,29.51456607743533,9.895310597163893e-05
270,3.206341889305638,24.96024879686137,9.905799614203654e-05
275,3.15620259287844,23.799344035550572,9.929492755707081e-05
280,3.2667788201565635,26.458106723386017,9.90016879550939e-05
285,3.107277735702659,22.538944753240234,9.914975918247754e-05
290,3.2455687137484808,26.11166027855618,9.919217325485368e-05
295,3.157539483135845,23.70563816789884,9.925075833141145e-05
300,3.198208810938096,24.79480130158094,9.916316862792408e-05
305,3.177432356619067,24.4992734022088,9.9172582892378e-05
310,3.213027574424121,24.923150495805494,9.916375957504537e-05
315,3.1253140704828892,22.868944375052553,9.908909384742325e-05
320,3.1853547934454136,24.56654183177501,9.915821686913994e-05
325,3.003347585769889,20.24476764942293,9.910848309317724e-05
330,3.0947428309424785,22.209719601819845,9.922106262020571e-05
